id,osmId,osm_type,name,cuisine,phone,website,addr_city,addr_street,addr_housenumber,addr_postcode,latitude,longitude
49,292811271,node,Hauser Berg,,,,,,,,46.6105319,11.3387133
50,292968510,node,Pizzeria Waldrast,pizza,+39 0471 886815,https://www.suedtirol.info/de/de/erlebnisse-und-events/plp-erlebnisse/erlebnisse-suedtirol/pdp-erlebnisse.smgpoib4145afb9ee0480ebd1e4fac835043b3.gasthaus-pizzeria-waldrast.aldein,,,,,46.3676799,11.3604029
51,293599658,node,Jenesier Jöchl,,,,Jenesien - San Genesio Atesino,Kampideller Weg,22,39050,46.6171415,11.3080033
52,293599663,node,Putzer Kreuz,,,,,,,,46.6238284,11.3343245
53,293599665,node,Steinmann,,,,,,,,46.5495355,11.3705267
54,293866039,node,Turismo,,,,,,,,46.060124,11.237059
55,296371541,node,Schleiser Alm - Malga di Clusio,,,http://www.alpwirtschaft.it/schleiseralm/index.html,,,,,46.6914956,10.4546503
56,298086066,node,Ristorante Ai Canopi,indian;pizza;regional,+39 0461 823663,https://www.ristorantiindianitrento.com/,Martignano,Via ai Bolleri,12/6,31821,46.0939699,11.1305891
57,298274280,node,Caffe Terzer,,,,,,,,46.3145139,11.222677
58,298274283,node,Schwarz Adler Keller,,,,,,,,46.3132532,11.2235354
59,298467485,node,Lyfialm - Malga Lifi,,,,,,,,46.5037984,10.7029948
60,298531963,node,Matscher Alm - Malga die Mazia,,+39 349 6885545,,Matsch,Matschertal,,39024,46.7397431,10.6903841
61,299495914,node,Reinerhof,,+39 0474 67252,,,Rein,64,39030,46.9486223,12.0612299
62,299497543,node,Jausenstation Säge,pizza,,,,,,,46.9408434,12.0861525
63,299499529,node,Untermaureralm,,,,,,,,46.9523664,11.7828471
64,299927723,node,Rifugio Ghedina,,+39 0465 321808,https://www.trentinorifugi.com/index.php?bsclef=schede_rifugi&ex=html&viewnews=ok&ln=it&id=76&catid=6,,,,38070,46.1158602,10.8085216
65,301746888,node,Tisenhof,,,,,,,,46.7401978,10.8461397
66,301860749,node,Speck & Schnapsalm,,,http://www.speck-schnapsalm.com/,,,,,46.9764822,11.9875786
67,301868747,node,Schönbergalm,,,,,,,,46.9622586,11.89244
68,301876884,node,Tratter Alm,,,,,,,,46.9643171,11.8390266
69,301876885,node,Göge Alm,,+39 0474 646313,https://www.ausserhof.it/de/goege-alm.php,,Innertal,125,,46.9618911,11.8305789
70,302413044,node,Viel Nois,pizza;regional;italian,+39 0472 840526,https://www.vielnois.com/,,,,,46.6418765,11.6814215
71,302415384,node,Waldschenke,regional;pizza,+39 320 3137332;+39 333 4984870,https://www.restaurant-waldschenke.com/,,St. Johann - San Giovanni,3,,46.6334345,11.7282696
72,302730973,node,Cadino,fish;pizza;regional,+39 0461 650136,,,Località Cadino,2,,46.2178798,11.1531916
73,303826370,node,Pizzeria Millenium,pizza,,,,,,,46.3093023,11.6013606
74,303828168,node,Pizzeria L'arcade,austrian;beef_bowl;fine_dining;pizza,,,,,,,46.3109049,11.6028261
75,303832096,node,Majestic,,+390462501997,https://www.ristorantemajestic.it/,,,,,46.3065591,11.5985512
76,304632628,node,Pizzeria Ristorante Belvedere,,+39 0465 440396,https://campigliobelvedere.wixsite.com/belvedere,,,,,46.2320688,10.8274323
77,304632837,node,Ristorante Pizzeria Le Roi,,,,,,,,46.2325953,10.8254299
78,305577577,node,Kaserfeld-Alm,regional,,,,,,,46.507947,10.8917112
79,308301683,node,Birkenwald,austrian;buschenschank;german;italian,+39 0473 968356,,,,,,46.6920656,11.0547553
80,309615997,node,Raststation Haidepark,,,,,,,,46.717748,10.5372698
81,309946873,node,Culinaria living,regional,+39 0473 923508,,,,,,46.6998012,11.1462273
82,310438217,node,Saxalb Alm - Malga di Sassalbo,,,,,,,,46.6777736,10.916148
83,310438220,node,Klosteralm - Malga del Convento,,+39 329 6785550,,Schnals - Senales,,,,46.6864563,10.9032101
84,310461412,node,Graf Alm,,,,,,,,46.735277,10.9121306
85,310468986,node,Stafler Alm - Malga Stafler (Scaglioni),,,,,,,,46.5992023,11.0491402
86,310469786,node,Familyalm Gampl - Albergo Gampl,,+39 0473 562014,https://www.familyparadies.com/,,,,,46.6330082,11.0938804
87,310670722,node,Gasthaus Gramegg,,+39 0473 967425,,,Vinschgauerstraße,35,39022,46.6714059,11.0968892
88,313207106,node,Jausenstation Greitwies,regional,+39 0473 563376,http://www.greitwies.it/,,Pawigl,3,39011,46.6171997,11.1114126
89,317526677,node,Paoli Hotel - Antica Trattoria alla Vedova,,,,,,,,45.9886994,11.3006401
90,319917018,node,Agritur Le Vallene,regional,,,,,,,46.1121336,11.0470198
91,322895287,node,La Trattoria,,,,,,,,46.2825141,11.5229928
92,329525749,node,Seeberger,,,,,,,,46.5196548,11.3621034
93,330499384,node,Ristorante Pizzeria Pernhof,pizza,,,,,,,46.3397953,11.2392352
94,333783337,node,Al cervo,regional,,,,,,,46.3149326,10.8125093
95,333791569,node,La Cantina di Suisse,regional,,,,,,,46.230922,10.8265841
96,335596730,node,Tana del Barba,regional;pizza;steak_house;grilled_meat,,,Malé,Piazza Regina Elena,,38027,46.3525109,10.912659
97,341091742,node,Osteria Al Travaion,,,,,,,,46.2155184,11.0870302
98,349238903,node,L'Fana,italian,+390471847025,https://www.lfana.com/,,,,,46.5846269,11.9047592
99,355968440,node,Capriccio,pizza;regional,+39 0461 650699,,San Michele all'Adige,Via Don A. Tamanini,47,38098,46.1891991,11.1287253
100,358841673,node,Pub Pizzeria Weinstraße,pizza,,http://www.pizzeria-weinstrasse.it/,,,,,46.3202489,11.231951
101,360171370,node,Zur Rose,,,,,,,,46.3127345,11.2214485
102,362792011,node,Nassreidhof,regional,+39 0473 679233,http://www.nassreidhof.it/,Schnals-Senales,Pfossental,9,,46.7245759,10.9299696
103,363578299,node,Pizzeria Credai,pizza,,,,,,,46.3426856,11.1276835
104,363579455,node,Agritur Agostini,,,,,,,,46.364743,11.1000197
105,363786299,node,Pizzeria Cafe Seidner,pizza,,,Sterzing - Vipiteno,,,,46.8979539,11.4328092
106,363791505,node,Lorenz,italian,,https://www.hotellorenz.com/,,,,,46.9356365,11.4462649
107,365499674,node,NoFormat,pizza,+39 0461 829523,https://pizzerianoformat.it/,Trento,Via dei Solteri,39/9,31821,46.0882875,11.1211946
108,369568235,node,Agritur Calvola,regional,+39 348 5502645,http://www.agriturcalvola.it/,,Via Villa Calvola,62,38060,45.9256591,10.8322504
109,385123328,node,Bergrestaurant Breiteben,,,,,,,,46.5417277,10.9321044
110,385123329,node,Jausenstation Lärchegg,regional,,,,,,,46.5412309,10.9313462
111,385123330,node,Bergrestaurant Schwemmalm - Ristorante di montagna Malga Guazza,,,,,,,,46.5324376,10.9181448
112,388930801,node,La Lanterna,pizza,,,,,,,46.3001554,11.4475121
113,388981198,node,Agritur Zanon,regional,,,,,,,46.2965692,11.4994485
114,392944495,node,Moschwaldalm,regional,,,,,,,46.6634873,11.2578012
115,393197242,node,Kollerhof,italian,,,,,,,46.3111772,11.283871
116,404344018,node,Skihaus Schöneben,,+39 3402655124,https://www.skihaus-schoeneben.it,Reschen,Hauptstraße,21,39027,46.8044286,10.4893448
117,410827582,node,Pizzeria Kirchsteiger,,+39 0473 609580,https://www.restaurant-kirchsteiger.it/,Meran - Merano,Dantestraße,22,39012,46.6682388,11.1736621
118,411324029,node,Alpenrose,regional,+390473278060,https://www.gasthofalpenrose.com/,,Vöranerstraße,1,,46.625858,11.2110877
119,411676566,node,Gasthof Ungericht,regional,+39 0473 241112,https://www.ungerichthof.it/,,,,,46.7003926,11.1672927
120,415504641,node,Dolomiti,pizza;regional,,http://www.ristorantedolomiti.it,,,,,46.3256919,10.8611651
121,416691922,node,Gasthof zum Löwen,,,https://www.hotel-loewen.it/zum-loewen-p1.html,,,,,46.776349,11.689844
122,416983481,node,Al Mas,regional;italian;steak_house,+39 0461 557540,,,,,,46.1231693,11.2595873
123,417200226,node,Köstenthaler-Hof,regional,+39 0473 945831,http://koestenthaler.com,,Hofweg,3,,46.7020612,11.203375
124,417675381,node,Angi,italian,,,Pergine Valsugana,Via dell'Angi,61,38057,46.0471016,11.2333835
125,417856704,node,Pizzeria Botti,pizza,+39 0464 432521,https://www.pizzeriabotti.it/,Rovereto,Corso Verona,76,38068,45.8751426,11.0335673
126,418013504,node,Angereralm - Malga Angerer,,,,,,,,46.7428527,12.0386879
127,418013950,node,Ütia Fojedöra - Hochalm,regional,+39 340 8713719,,,,,,46.7014351,12.0164157
128,418014079,node,Lanzwiese Alm - Malga Lanzwiese,,,,,,,,46.730617,12.0281941
129,418014829,node,Christl,pizza;regional;italian,+39 0474 498212,https://www.christl.bz/,,Kerlastraße - Via Kerla,1a,,46.7616011,12.0288037
130,418590055,node,Lobishof,regional,,https://www.lobishof.com/de/gasthaus-restaurant-ritten.htm,,,,,46.5484338,11.4124084
131,418867389,node,Guggerhof,regional,,,,,,,46.7220791,11.6687316
132,419839554,node,Schneidalm,regional,,,Moos in Passeier - Moso in Passiria,,,39013,46.798417,11.0719387
133,419843321,node,Gasthaus Gerstgras,,,,,,,,46.733487,10.803875
134,420205216,node,Huberhof,,+390472855479,https://restaurants.st/it/gastronomia/gasthaus-huber-chiusa-p6654,,,,,46.6506412,11.571443
135,420387418,node,Mittelgrünwald,buschenschank,+39 0471 352784,https://www.suedtirol.info/en/experience/mittelgrunwald-manuelas-jausenstation_activity_1106613,,,,,46.5878981,11.4287101
136,420409438,node,Grünboden Hütte,regional,,,,,,,46.790883,11.1006402
137,420411740,node,Tappeiner Alm - Malga Tappein,,,,,,,,46.6489335,10.7943919
138,420414240,node,Tanaser Stierhütte,,,,,,,,46.6628071,10.6638576
139,420772564,node,Gasthof Seppi,regional,+39 0472 849701,www.gasthof-seppi.it/,Mühlbach - Rio di Pusteria,Richtergasse,1,39037,46.7962263,11.6665785
140,420781371,node,Le Bistro Arc,pizza,,,,,,39031,46.7948158,11.9410363
141,420782990,node,Zum Hirschen,,,,,,,,46.7960385,11.9239464
142,424414589,node,Feltuner Hütte - Malga Feltuner,,,,,,,,46.6048404,11.4567065
143,427707383,node,Finailhof,,,,,,,,46.7414455,10.8250827
144,428639276,node,Niky's,,+39 0461 390828,https://www.nikys.it/,Trento,Via Enrico Fermi,7,38123,46.0475076,11.1261306
145,428644278,node,Loto 1997,italian,+39 0461 1863052,https://www.lototrento.it/,Trento,Via Gocciadoro,62,31822,46.0559897,11.1314758
146,428817942,node,Speckstube,,,,,,,,45.9742277,11.2446893
147,430531035,node,Blue Sax,pizza,+39 0461 910076,,Trento,Viale Verona,73,31822,46.0563197,11.1287617
148,430673959,node,Sapori d'Asia,chinese,,,Trento,Via della Prepositura,15,31822,46.0690767,11.118671
149,431475183,node,La Terrazza,indian;italian;pizza,+39 0461 390060,,Trento,Piazzale Europa,16,38123,46.0406051,11.1329032
150,431648975,node,Sapori Mediterranei,fish;pizza;barbecue,+39 0461 984360,https://saporimediterraneitn.it,Trento,Via Roberto da Sanseverino,39/4,31822,46.064995,11.1141049
151,431658690,node,Pizzeria da Albert,pizza,+39 0461 231712,https://www.albertpizza.it/,Trento,Via Giuseppe Verdi,15b,31822,46.0665817,11.1171679
152,431658693,node,Burger Fucktory,pizza,,https://www.burgerfucktory.com/,Trento,Via Bernardino Bomporto,2,31822,46.0651062,11.1174849
153,431658709,node,Pizzeria Tetley's,pizza,+39 0461 233477,https://www.tetleyspub.it/,Trento,Via degli Orti,1,31822,46.0657418,11.121244
154,431658713,node,Orso Grigio,italian;regional,+39 0461 984400,http://www.orsogrigiotrento.com/,Trento,Via degli Orti,19,31822,46.0655854,11.1222669
155,432473109,node,Ristorante Pizzeria Doc,pizza;regional;breakfast;coffee_shop;bavarian;italian;italian_pizza;local;german;friture;seafood;ice_cream;pasta;chicken;sausage;cake;tea,+39 0461 262022,http://www.doctrento.it,,Via Milano,148,31822,46.0635732,11.1310495
156,432987066,node,Pizzeria da Mimmo,pizza,,,,,,,46.0377468,11.1053814
157,439594940,node,Plosehütte - Rifugio Plose,regional,+39 0472 521333,https://www.plosehuette.com/,,,,,46.6949927,11.7321657
158,439723633,node,Pizzeria Tre novembre,italian_pizza,,,Altopiano della Vigolana,Via Don Carlo Rossi,13,38049,45.9693135,11.2326193
159,439750542,node,Da La Vedla,pizza,+393775945557,https://www.lavedla.it/,San Cassiano,Strada Micurá de Rü,24,39036,46.5711071,11.9318062
160,439912351,node,Assaje,pizza;italian,,https://www.assaje.it/locations/trento/,Trento,Largo Giosuè Carducci,25,31822,46.0684346,11.1246215
161,440503597,node,Happy Ranch,,+39 0461 683518,http://www.happy-ranch.com,Cembra,Località Lago Santo,,38034,46.1976615,11.2032566
162,440655859,node,Skihütte,regional,,,,,,,46.6774376,11.7375022
163,441414833,node,Ristorante Bar Pizzeria J&J,indian;pizza,,,,,,,46.0475169,11.1451508
164,441880019,node,La Terrazza,,,http://www.allaterrazza.com,,Via Benaco,24,,45.8690229,10.874958
165,442218340,node,"Trattoria ""Al Parol""",italian,,,Trento,Via Mesiano,40,38123,46.0668061,11.1405959
166,442928069,node,La Mela,,,,,,,,45.8545873,10.9463595
167,443435231,node,Kaffee Konrad,,+39 0473 448646,,,,,,46.6897789,11.120846
168,445562136,node,Pizzeria Okay,,,,,,,,45.8748472,11.033247
169,446285924,node,Großberghütte,regional,+39 0472 520 277,https://www.grossberghuette.com/,Mühlbach - Rio di Pusteria,Grossbergstr.,11,39037,46.8411625,11.6505952
170,449096185,node,Cafe Restaurant Seegarten,,,https://www.seegarten.it/,,,,,46.3839586,11.2585115
171,455193451,node,Gasthof Schlossberg,,,https://pension-schlossberg.it/,,,,,46.8197861,11.2582061
172,456830729,node,Osteria storica Morelli,,,,,,,,46.0780116,11.2780202
173,456867283,node,Bergrestaurant Jochtal,regional,,,,,,,46.8435955,11.6010012
174,457521149,node,La Svolta,italian,,,,,,,45.7949703,11.0960875
175,457551203,node,Pizzeria Bavaria,italian,,,Riva del Garda,Viale Rovereto,100,38066,45.8803073,10.8556849
176,457652887,node,Ebner Rast,,,,,,,,46.2870549,11.381995
177,459656419,node,Taverna La Botte,,+39 0461 586948,http://www.tavernalabotte.it/,Molveno,Via Cima Tosa,4,38018,46.1431234,10.9660326
178,459656425,node,Al Caminetto,,,,,,,,46.1406246,10.9619447
179,462127221,node,Baite di Prà,agritur,,,,,,,46.0992927,10.6953547
180,462251316,node,Sterzingerhof,regional;pizza;burger,+39 0472 765128,,Sterzing - Vipiteno,Geizkoflerstraße - Via Geizkofler,15,39049,46.8982721,11.4335507
181,463189395,node,Ai Vicoli,,+39 0461 260673,http://www.aivicoli.it/,Trento,Piazza Santa Teresa Verzeri,1,31822,46.0675785,11.1202669
182,463547596,node,Malga Canali,regional,,,,,,,46.2232952,11.8884108
183,468069349,node,Ristorante Pizzeria Nuova Castelli,pizza;italian,+39 0461 827079,,,,,,46.0760979,11.1240728
184,469091810,node,Garnischgerhof,,,,,,,,46.3916713,11.4653356
185,469106203,node,Völlaner Badl,regional,,,,,,,46.5776295,11.1380402
186,470256244,node,Steinegger,italian;regional,+39 0471 662248,https://www.steinegger.it,Eppan an der Weinstraße - Appiano sulla Strada del Vino,Matschatscher Weg - Strada Masaccio,9,39057,46.4552667,11.2399826
187,470259436,node,Überetscher Keller Restaurant Pizzeria,pizza,,,,,,,46.4547772,11.2636727
188,470613019,node,Muye,,,,,,,,46.7198572,11.6505776
189,471114151,node,Aquila Nera,,+39 0461 549090,,,,,,46.0736674,11.3016006
190,471114173,node,Albergo ristorante Kamauz,,,,,,,,46.0747699,11.3027031
191,471617940,node,Rotbachalm,regional,,,Ahrntal - Valle Aurina,Brunnberg,22,39030,46.9724096,11.9135392
192,471618005,node,Stallila,regional,,,Ahrntal - Valle Aurina,Rohrberg,37,39030,46.9771096,11.9149207
193,471639285,node,Grillage,mexican;traditional;meat,+39 0472 830604,https://www.grillage.it/,,,,,46.7165455,11.6554488
194,471843072,node,VIP Express,pizza;regional,,,,,,,46.7212321,11.6525257
195,472201994,node,Waldneralm,,,,,,,,47.0465489,12.0929994
196,472597025,node,Meggima,italian;pizza;regional,,https://www.meggima.eu/,,,,,46.8907455,11.8700125
197,474425716,node,Pfarrgasthof,regional,,,,,,,46.964868,11.3466635
198,476270487,node,Anratterhütte,regional,+39 0472 849574,https://www.anratterhof.info/,,,,,46.8369354,11.6074335
199,476867344,node,Schutzhaus Latzfonser Kreuz - Rifugio Santa Croce di Lazfons,regional,,https://www.latzfonserkreuz.com/,,,,,46.7019065,11.4998013
200,478522448,node,Pizzeria Comparsa - Al Baracca,pizza,,,,,,,46.0943119,11.2334908
201,478534965,node,Ristorante pizzeria La Corte,,,,,,,,46.0788379,11.2037412
202,478636891,node,Kuppelwies,,,,,,,,46.5301638,10.9581921
203,478679524,node,Break Point SS47 - Hotel e ristorante,,,,,,,,46.0764157,11.2075404
204,478771265,node,Pretzhof,regional,+39 0472 764455,https://www.pretzhof.com/,Pfitsch - Val di Vizze,Tulfer,259,39049,46.9036797,11.507884
205,479311071,node,Häusler Sam,,,,,,,,46.4030335,11.5253955
206,482018936,node,La scardola,,,,,,,,46.1291452,11.2447454
207,482531366,node,Osteria Al Moro,,,,,,,,46.0613829,11.2428217
208,482716381,node,Alla Rotonda,,,,,,,,46.0587504,11.2373901
209,482740210,node,Friedheim,pizza,+390471668048,,,Möltnerstraße,44,,46.5866717,11.2532878
210,482849666,node,Cristallo,,,,,,,,46.0618088,11.2417648
211,483034364,node,Bistrot Alte Post,regional,+39 0473 616884,,,Hauptstraße - Via Principale,98,,46.6170093,10.5906511
212,484919953,node,Agritur Malga Stramaiolo,regional,,,,,,,46.1589433,11.3282197
213,489680926,node,Pizzeria Baitella,pizza,,,,,,,46.0503024,11.2568822
214,489869145,node,Casa Beust,pizza,,,Torbole sul Garda,Via Benaco,15,38069,45.8687443,10.8755678
215,492588317,node,Hotel Rungghof,,,,,,,,46.5487212,11.5485111
216,495259963,node,Gasthof Prennanger,,,,,,,,46.7338661,11.2275193
217,495277792,node,Kaffee Sterneck — Restaurant Zum Gustl,regional,,,,,,,46.7363834,11.2281777
218,495278242,node,Gasthof Alpenblick,,,,,,,,46.7362119,11.2269208
219,495296082,node,Gasthof Hiaslbauer,regional,+39 0473 949452,,,,,,46.7186063,11.2509486
220,495297077,node,Gasthaus Haashof,regional,+39 0473 949509,http://www.haashof.it/,,,,,46.718245,11.2509768
221,495979666,node,Gasthaus St. Valentin,,,,,,,,46.6551634,11.5710851
222,497059302,node,Agritur Tinglerhof,,,,,,,,46.0676326,11.31628
223,497065140,node,Al Sole,,+39 0461 718192,http://ristopizzasole.com/,Caldonazzo,Località Brenta,2,38052,46.0056784,11.2726206
224,497092919,node,Ristorante Valcanover,regional,+39 0461 548 037,http://www.albergovalcanover.it,Pergine Valsugana,Via di Mezzo Lago,3,38057,46.0270136,11.2296822
225,497092958,node,Giropizza VIP,pizza,+39 0461 512282,,Pergine Valsugana,Località Valcanover,13,,46.0319673,11.2297645
226,497095123,node,La Darsena,italian,,,,,,,46.0383649,11.2370537
227,498751319,node,Baita Van Spitz,italian;regional,+39 342 123 4051,,Frassilongo,Poun Van Spitz,1,38050,46.0839607,11.316434
228,499994779,node,Bar Haidi Pizzeria Bistro,pizza,,,Bolzano - Bozen,Via Renon - Rittner Straße,33,39100,46.4991165,11.3625622
229,500004619,node,Vögele,regional;italian,+39 0471 973938,https://www.voegele.it/,Bolzano - Bozen,Via Johann Wolfgang Von Goethe - Johann-Wolfgang-Von-Goethe-Straße,3,39100,46.4990306,11.3525008
230,500004620,node,Forstbräu Central,italian;regional,+39 0471 977243,https://www.forsterbrau.it/,Bolzano - Bozen,Via Johann Wolfgang Von Goethe - Johann-Wolfgang-Von-Goethe-Straße,6,39100,46.4990726,11.3523422
231,500004621,node,Hopfen & Co.,regional,+39 0471 300788,https://www.boznerbier.it/,Bolzano - Bozen,Piazza delle Erbe - Obstplatz,17,39100,46.4993259,11.3525722
232,500004622,node,Batzenhäusl,regional,+39 0471 050950,https://www.batzen.it/,Bolzano - Bozen,Via Andreas Hofer - Andreas-Hofer-Straße,30,39100,46.5013603,11.3574364
233,500522638,node,Auener Hof,,,,,,,,46.6517894,11.3225031
234,500578510,node,Gschnagenhardt Alm - Malga Casnago,regional,+39 0472 840158,https://www.gschnagenhardtalm.it,,,,,46.6193202,11.749604
235,503587221,node,Bauer im Wald,,+39 0471 616330,http://bauerimwald.com,,,,,46.4405828,11.4003031
236,506680054,node,Castelletto sul Lago - Schlössel,regional,,,,,,,46.8277806,10.5112818
237,506781537,node,Restel de Fer,regional,+39 0464553481,https://www.resteldefer.com,Riva del Garda,Via Restel de Fer,10,38066,45.8825265,10.8567684
238,510963459,node,Trattoria Sant'Alessandro,,+39 0464 661476,www.trattoriasantalessandro.com,,Via Sant'Alessandro,19,38066,45.8903019,10.8624376
239,511197998,node,Ristorante Castello,,+39 0464 500638,https://www.ristorantecastellotenno.com/,Tenno,Via per San Lorenzo,29,38060,45.9168932,10.832553
240,511198005,node,Hotel ristorante Antica Croce,,+39 0464 500620,https://gardaslowemotion.it/it/,Tenno,Via dei Laghi,1,38060,45.9174613,10.8328756
241,514493965,node,Gasthaus Seespitz,regional,+39 0473 562955,https://www.vigilio.com/de/gasthaeuser/gasthof-seespitz.html,,,,,46.6459586,11.0989943
242,528747722,node,Gasthof Hasenegg,regional,,,,,,,46.7097947,11.2090191
243,528765366,node,Restaurant - Cafe Georgenhof,regional,+39 0473 945 689,,,,,,46.6838314,11.1983051
244,529590043,node,Bärenbadalm - Malga Bagno dell'Orso,regional,+393389918224,https://baerenbadalm.com,Lana,Vigiljoch,87,,46.6296642,11.0873019
245,537513269,node,La Vecchia Segheria,,,,,,,,46.1335973,11.2474976
246,538308384,node,La Sinfonia,italian,,,,,,,46.4874586,11.3458727
247,538835090,node,"Trattoria Sarda ""Il Nuraghe""",regional,,,,,,,46.4826063,11.3424494
248,538835829,node,"Ristorante ""Stella Alpina""",italian,,,,,,,46.481854,11.3417647
249,538835832,node,Pizza Live,pizza,,,,,,,46.4821951,11.3420563
250,540371369,node,Jausenstation Moarhof,,,,,,,,46.5124093,11.2099626
251,540943826,node,Arbor,,,,,,,,46.8983126,11.4334193
252,540989354,node,Ristorane Pizzeria Caregnato,,,,,,,,46.6633964,11.0432322
253,540994930,node,Ressmair,,+39 0473 236400,,Meran - Merano,Romstraße - Via Roma,166,39012,46.6620319,11.1639099
