restaurantId,osmId,name,cuisine,phone,website,municipality,address,postcode,nearResort,distanceToResort_km,latitude,longitude
35,288938675,Pizzeria OroStube,pizza,+39 0461 816073,https://orostube.it/,Trento,Via Sommarive 10,38123,3-Tre Vaneze,6.5,46.0647594,11.1504525
36,289225782,La Botte,,,,Povo,Piazza Giannatonio Manci 14,38123,3-Tre Vaneze,6.9,46.0661234,11.1548195
37,289741261,Gasthof Wieser,italian;pizza,+39 0471 615152,,,,,Petersberg - Monte San Pietro,0.3,46.3952497,11.3857603
38,289741267,Gasthof Weber,,,,,,,Petersberg - Monte San Pietro,0.6,46.3966755,11.3944388
39,289878227,Krone,,,https://www.gasthof-krone.it,,,,Petersberg - Monte San Pietro,3.8,46.3681076,11.3544362
40,290831118,Pirchhof,,+39 0473 667812,http://www.pirchhof.com/,Naturns - Naturno,Sonnenberg-Monte Sole 77a,39025,Pfelders Ski Resort,14.6,46.6706,11.0066482
41,290958323,Wiedenplatz,,,,,,,Schwemmalm,14.8,46.6568512,11.0130051
42,290995383,Röt Alm,,,,,,,Rein in Taufers - Riva di Tures,11.7,47.0400333,12.1455906
43,290998952,Agriturismo Ai molini,regional,+39 0461 651088,http://www.agrituraimolini.it/,,,,La Rocca,8.6,46.1929312,11.1566275
44,291290003,Unterobereben,regional,,,,,,Falzeben 2,13.8,46.6587091,11.0736106
45,292021580,Pizzeria Quattro Stagioni,pizza,+39 0461 987031,,Trento,Via San Vito 36,31821,3-Tre Vaneze,6.1,46.0753126,11.1378543
46,292258759,Victor,pizza;regional;italian,,,,,,,,46.3381184,11.0633214
47,292397135,Höchsterhütte am Grünsee - Rifugio Canziani al Lago Verde,,,,,,,albl,10.9,46.4825119,10.7990364
48,292811263,Moar,,,,,,,Mittager 1 - Catino 1,14.1,46.5633788,11.3566442
49,292811271,Hauser Berg,,,,,,,Mittager 1 - Catino 1,8.7,46.6105319,11.3387133
50,292968510,Pizzeria Waldrast,pizza,+39 0471 886815,https://www.suedtirol.info/de/de/erlebnisse-und-events/plp-erlebnisse/erlebnisse-suedtirol/pdp-erlebnisse.smgpoib4145afb9ee0480ebd1e4fac835043b3.gasthaus-pizzeria-waldrast.aldein,,,,Petersberg - Monte San Pietro,3.6,46.3676799,11.3604029
51,293599658,Jenesier Jöchl,,,,Jenesien - San Genesio Atesino,Kampideller Weg 22,39050,Mittager 1 - Catino 1,7.3,46.6171415,11.3080033
52,293599663,Putzer Kreuz,,,,,,,Mittager 1 - Catino 1,7.2,46.6238284,11.3343245
53,293599665,Steinmann,,,,,,,,,46.5495355,11.3705267
54,293866039,Turismo,,,,,,,Pradis_ci,11.3,46.060124,11.237059
55,296371541,Schleiser Alm - Malga di Clusio,,,http://www.alpwirtschaft.it/schleiseralm/index.html,,,,Nordisches Skizentrum Schlinig - Centro sci nordico Slingia,2.0,46.6914956,10.4546503
56,298086066,Ristorante Ai Canopi,indian;pizza;regional,+39 0461 823663,https://www.ristorantiindianitrento.com/,Martignano,Via ai Bolleri 12/6,31821,3-Tre Vaneze,6.9,46.0939699,11.1305891
57,298274280,Caffe Terzer,,,,,,,,,46.3145139,11.222677
58,298274283,Schwarz Adler Keller,,,,,,,,,46.3132532,11.2235354
59,298467485,Lyfialm - Malga Lifi,,,,,,,Sulden am Ortler - Solda al Ortles,8.0,46.5037984,10.7029948
60,298531963,Matscher Alm - Malga die Mazia,,+39 349 6885545,,Matsch,Matschertal,39024,Val Senales-Schnalstal,8.2,46.7397431,10.6903841
61,299495914,Reinerhof,,+39 0474 67252,,,Rein 64,39030,Rein in Taufers - Riva di Tures,0.3,46.9486223,12.0612299
62,299497543,Jausenstation Säge,pizza,,,,,,Rein in Taufers - Riva di Tures,2.1,46.9408434,12.0861525
63,299499529,Untermaureralm,,,,,,,Speikboden,9.1,46.9523664,11.7828471
64,299927723,Rifugio Ghedina,,+39 0465 321808,https://www.trentinorifugi.com/index.php?bsclef=schede_rifugi&ex=html&viewnews=ok&ln=it&id=76&catid=6,,,38070,Skiweg Fossadei - Cioca 2,6.4,46.1158602,10.8085216
65,301746888,Tisenhof,,,,,,,Val Senales-Schnalstal,5.7,46.7401978,10.8461397
66,301860749,Speck & Schnapsalm,,,http://www.speck-schnapsalm.com/,,,,Klausberg - Monte Chiusetta,0.6,46.9764822,11.9875786
67,301868747,Schönbergalm,,,,,,,Speikboden,3.1,46.9622586,11.89244
68,301876884,Tratter Alm,,,,,,,Speikboden,5.6,46.9643171,11.8390266
69,301876885,Göge Alm,,+39 0474 646313,https://www.ausserhof.it/de/goege-alm.php,,Innertal 125,,Speikboden,6.0,46.9618911,11.8305789
70,302413044,Viel Nois,pizza;regional;italian,+39 0472 840526,https://www.vielnois.com/,,,,Brixen Plose - Plose di Bressanone,5.7,46.6418765,11.6814215
71,302415384,Waldschenke,regional;pizza,+39 320 3137332;+39 333 4984870,https://www.restaurant-waldschenke.com/,,St. Johann - San Giovanni 3,,Brixen Plose - Plose di Bressanone,6.2,46.6334345,11.7282696
72,302730973,Cadino,fish;pizza;regional,+39 0461 650136,,,Località Cadino 2,,La Rocca,9.5,46.2178798,11.1531916
73,303826370,Pizzeria Millenium,pizza,,,,,,Latemar Dolomites,6.0,46.3093023,11.6013606
74,303828168,Pizzeria L'arcade,austrian;beef_bowl;fine_dining;pizza,,,,,,Latemar Dolomites,5.9,46.3109049,11.6028261
75,303832096,Majestic,,+390462501997,https://www.ristorantemajestic.it/,,,,Latemar Dolomites,6.1,46.3065591,11.5985512
76,304632628,Pizzeria Ristorante Belvedere,,+39 0465 440396,https://campigliobelvedere.wixsite.com/belvedere,,,,Campiglio Dolomiti di Brenta,1.8,46.2320688,10.8274323
77,304632837,Ristorante Pizzeria Le Roi,,,,,,,Campiglio Dolomiti di Brenta,1.9,46.2325953,10.8254299
78,305577577,Kaserfeld-Alm,regional,,,,,,albl,3.3,46.507947,10.8917112
79,308301683,Birkenwald,austrian;buschenschank;german;italian,+39 0473 968356,,,,,Pfelders Ski Resort,11.1,46.6920656,11.0547553
80,309615997,Raststation Haidepark,,,,,,,Watles - Vatles,3.2,46.717748,10.5372698
81,309946873,Culinaria living,regional,+39 0473 923508,,,,,Falzeben 2,8.5,46.6998012,11.1462273
82,310438217,Saxalb Alm - Malga di Sassalbo,,,,,,,Val Senales-Schnalstal,14.4,46.6777736,10.916148
83,310438220,Klosteralm - Malga del Convento,,+39 329 6785550,,Schnals - Senales,,,Val Senales-Schnalstal,13.0,46.6864563,10.9032101
84,310461412,Graf Alm,,,,,,,Val Senales-Schnalstal,10.4,46.735277,10.9121306
85,310468986,Stafler Alm - Malga Stafler (Scaglioni),,,,,,,Schwemmalm,11.4,46.5992023,11.0491402
86,310469786,Familyalm Gampl - Albergo Gampl,,+39 0473 562014,https://www.familyparadies.com/,,,,Falzeben 2,13.0,46.6330082,11.0938804
87,310670722,Gasthaus Gramegg,,+39 0473 967425,,,Vinschgauerstraße 35,39022,Falzeben 2,11.9,46.6714059,11.0968892
88,313207106,Jausenstation Greitwies,regional,+39 0473 563376,http://www.greitwies.it/,,Pawigl 3,39011,Falzeben 2,12.6,46.6171997,11.1114126
89,317526677,Paoli Hotel - Antica Trattoria alla Vedova,,,,,,,Lait primi passi 1-2,3.4,45.9886994,11.3006401
90,319917018,Agritur Le Vallene,regional,,,,,,Panoramica,3.6,46.1121336,11.0470198
91,322895287,La Trattoria,,,,,,,Alpe Cermis,3.9,46.2825141,11.5229928
92,329525749,Seeberger,,,,,,,Petersberg - Monte San Pietro,14.2,46.5196548,11.3621034
93,330499384,Ristorante Pizzeria Pernhof,pizza,,,,,,Petersberg - Monte San Pietro,12.9,46.3397953,11.2392352
94,333783337,Al cervo,regional,,,,,,Biancaneve,1.7,46.3149326,10.8125093
95,333791569,La Cantina di Suisse,regional,,,,,,Campiglio Dolomiti di Brenta,1.9,46.230922,10.8265841
96,335596730,Tana del Barba,regional;pizza;steak_house;grilled_meat,,,Malé,Piazza Regina Elena,38027,Folgarida-Marilleva,8.9,46.3525109,10.912659
97,341091742,Osteria Al Travaion,,,,,,,La Rocca,5.8,46.2155184,11.0870302
98,349238903,L'Fana,italian,+390471847025,https://www.lfana.com/,,,,Alta Badia Shop & Rental,0.1,46.5846269,11.9047592
99,355968440,Capriccio,pizza;regional,+39 0461 650699,,San Michele all'Adige,Via Don A. Tamanini 47,38098,La Rocca,6.4,46.1891991,11.1287253
100,358841673,Pub Pizzeria Weinstraße,pizza,,http://www.pizzeria-weinstrasse.it/,,,,Petersberg - Monte San Pietro,14.5,46.3202489,11.231951
101,360171370,Zur Rose,,,,,,,,,46.3127345,11.2214485
102,362792011,Nassreidhof,regional,+39 0473 679233,http://www.nassreidhof.it/,Schnals-Senales,Pfossental 9,,Val Senales-Schnalstal,12.1,46.7245759,10.9299696
103,363578299,Pizzeria Credai,pizza,,,,,,,,46.3426856,11.1276835
104,363579455,Agritur Agostini,,,,,,,,,46.364743,11.1000197
105,363786299,Pizzeria Cafe Seidner,pizza,,,Sterzing - Vipiteno,,,Rosskopf,2.2,46.8979539,11.4328092
106,363791505,Lorenz,italian,,https://www.hotellorenz.com/,,,,Rosskopf,4.3,46.9356365,11.4462649
107,365499674,NoFormat,pizza,+39 0461 829523,https://pizzerianoformat.it/,Trento,Via dei Solteri 39/9,31821,3-Tre Vaneze,6.0,46.0882875,11.1211946
108,369568235,Agritur Calvola,regional,+39 348 5502645,http://www.agriturcalvola.it/,,Via Villa Calvola 62,38060,Centro Sci di Fondo Chinaec,7.4,45.9256591,10.8322504
109,385123328,Bergrestaurant Breiteben,,,,,,,Schwemmalm,0.6,46.5417277,10.9321044
110,385123329,Jausenstation Lärchegg,regional,,,,,,Schwemmalm,0.5,46.5412309,10.9313462
111,385123330,Bergrestaurant Schwemmalm - Ristorante di montagna Malga Guazza,,,,,,,Schwemmalm,1.0,46.5324376,10.9181448
112,388930801,La Lanterna,pizza,,,,,,Jochgrimm,5.0,46.3001554,11.4475121
113,388981198,Agritur Zanon,regional,,,,,,Alpe Cermis,4.2,46.2965692,11.4994485
114,392944495,Moschwaldalm,regional,,,,,,Falzeben 2,1.5,46.6634873,11.2578012
115,393197242,Kollerhof,italian,,,,,,Petersberg - Monte San Pietro,12.1,46.3111772,11.283871
116,404344018,Skihaus Schöneben,,+39 3402655124,https://www.skihaus-schoeneben.it,Reschen,Hauptstraße 21,39027,Schöneben - Belpiano,1.6,46.8044286,10.4893448
117,410827582,Pizzeria Kirchsteiger,,+39 0473 609580,https://www.restaurant-kirchsteiger.it/,Meran - Merano,Dantestraße 22,39012,Falzeben 2,6.1,46.6682388,11.1736621
118,411324029,Alpenrose,regional,+390473278060,https://www.gasthofalpenrose.com/,,Vöranerstraße 1,,Falzeben 2,6.4,46.625858,11.2110877
119,411676566,Gasthof Ungericht,regional,+39 0473 241112,https://www.ungerichthof.it/,,,,Falzeben 2,7.0,46.7003926,11.1672927
120,415504641,Dolomiti,pizza;regional,,http://www.ristorantedolomiti.it,,,,Folgarida-Marilleva,4.2,46.3256919,10.8611651
121,416691922,Gasthof zum Löwen,,,https://www.hotel-loewen.it/zum-loewen-p1.html,,,,27,4.7,46.776349,11.689844
122,416983481,Al Mas,regional;italian;steak_house,+39 0461 557540,,,,,Pradis_ci,4.2,46.1231693,11.2595873
123,417200226,Köstenthaler-Hof,regional,+39 0473 945831,http://koestenthaler.com,,Hofweg 3,,Falzeben 2,4.7,46.7020612,11.203375
124,417675381,Angi,italian,,,Pergine Valsugana,Via dell'Angi 61,38057,Le Cogole,10.9,46.0471016,11.2333835
125,417856704,Pizzeria Botti,pizza,+39 0464 432521,https://www.pizzeriabotti.it/,Rovereto,Corso Verona 76,38068,Campeggio,13.0,45.8751426,11.0335673
126,418013504,Angereralm - Malga Angerer,,,,,,,Kronplatz - Plan de Corones,8.1,46.7428527,12.0386879
127,418013950,Ütia Fojedöra - Hochalm,regional,+39 340 8713719,,,,,Kronplatz - Plan de Corones,9.7,46.7014351,12.0164157
128,418014079,Lanzwiese Alm - Malga Lanzwiese,,,,,,,Kronplatz - Plan de Corones,8.1,46.730617,12.0281941
129,418014829,Christl,pizza;regional;italian,+39 0474 498212,https://www.christl.bz/,,Kerlastraße - Via Kerla 1a,,Kronplatz - Plan de Corones,6.8,46.7616011,12.0288037
130,418590055,Lobishof,regional,,https://www.lobishof.com/de/gasthaus-restaurant-ritten.htm,,,,,,46.5484338,11.4124084
131,418867389,Guggerhof,regional,,,,,,Brixen Plose - Plose di Bressanone,5.1,46.7220791,11.6687316
132,419839554,Schneidalm,regional,,,Moos in Passeier - Moso in Passiria,,39013,Pfelders Ski Resort,1.9,46.798417,11.0719387
133,419843321,Gasthaus Gerstgras,,,,,,,Val Senales-Schnalstal,4.5,46.733487,10.803875
134,420205216,Huberhof,,+390472855479,https://restaurants.st/it/gastronomia/gasthaus-huber-chiusa-p6654,,,,Loipe Panider Sattel - Pista Passo Pinei,8.8,46.6506412,11.571443
135,420387418,Mittelgrünwald,buschenschank,+39 0471 352784,https://www.suedtirol.info/en/experience/mittelgrunwald-manuelas-jausenstation_activity_1106613,,,,Plankenhorn,11.5,46.5878981,11.4287101
136,420409438,Grünboden Hütte,regional,,,,,,Pfelders Ski Resort,0.7,46.790883,11.1006402
137,420411740,Tappeiner Alm - Malga Tappein,,,,,,,Val Senales-Schnalstal,13.7,46.6489335,10.7943919
138,420414240,Tanaser Stierhütte,,,,,,,Watles - Vatles,13.8,46.6628071,10.6638576
139,420772564,Gasthof Seppi,regional,+39 0472 849701,www.gasthof-seppi.it/,Mühlbach - Rio di Pusteria,Richtergasse 1,39037,27,1.9,46.7962263,11.6665785
140,420781371,Le Bistro Arc,pizza,,,,,39031,Kronplatz - Plan de Corones,2.5,46.7948158,11.9410363
141,420782990,Zum Hirschen,,,,,,,Kronplatz - Plan de Corones,2.9,46.7960385,11.9239464
142,424414589,Feltuner Hütte - Malga Feltuner,,,,,,,Plankenhorn,9.8,46.6048404,11.4567065
143,427707383,Finailhof,,,,,,,Val Senales-Schnalstal,4.5,46.7414455,10.8250827
144,428639276,Niky's,,+39 0461 390828,https://www.nikys.it/,Trento,Via Enrico Fermi 7,38123,3-Tre Vaneze,4.4,46.0475076,11.1261306
145,428644278,Loto 1997,italian,+39 0461 1863052,https://www.lototrento.it/,Trento,Via Gocciadoro 62,31822,3-Tre Vaneze,4.8,46.0559897,11.1314758
146,428817942,Speckstube,,,,,,,Le Stock,3.2,45.9742277,11.2446893
147,430531035,Blue Sax,pizza,+39 0461 910076,,Trento,Viale Verona 73,31822,3-Tre Vaneze,4.6,46.0563197,11.1287617
148,430673959,Sapori d'Asia,chinese,,,Trento,Via della Prepositura 15,31822,3-Tre Vaneze,4.4,46.0690767,11.118671
149,431475183,La Terrazza,indian;italian;pizza,+39 0461 390060,,Trento,Piazzale Europa 16,38123,Topolino,4.9,46.0406051,11.1329032
150,431648975,Sapori Mediterranei,fish;pizza;barbecue,+39 0461 984360,https://saporimediterraneitn.it,Trento,Via Roberto da Sanseverino 39/4,31822,3-Tre Vaneze,3.9,46.064995,11.1141049
151,431658690,Pizzeria da Albert,pizza,+39 0461 231712,https://www.albertpizza.it/,Trento,Via Giuseppe Verdi 15b,31822,3-Tre Vaneze,4.2,46.0665817,11.1171679
152,431658693,Burger Fucktory,pizza,,https://www.burgerfucktory.com/,Trento,Via Bernardino Bomporto 2,31822,3-Tre Vaneze,4.1,46.0651062,11.1174849
153,431658709,Pizzeria Tetley's,pizza,+39 0461 233477,https://www.tetleyspub.it/,Trento,Via degli Orti 1,31822,3-Tre Vaneze,4.4,46.0657418,11.121244
154,431658713,Orso Grigio,italian;regional,+39 0461 984400,http://www.orsogrigiotrento.com/,Trento,Via degli Orti 19,31822,3-Tre Vaneze,4.5,46.0655854,11.1222669
155,432473109,Ristorante Pizzeria Doc,pizza;regional;breakfast;coffee_shop;bavarian;italian;italian_pizza;local;german;friture;seafood;ice_cream;pasta;chicken;sausage;cake;tea,+39 0461 262022,http://www.doctrento.it,,Via Milano 148,31822,3-Tre Vaneze,5.0,46.0635732,11.1310495
156,432987066,Pizzeria da Mimmo,pizza,,,,,,Topolino,2.8,46.0377468,11.1053814
157,439594940,Plosehütte - Rifugio Plose,regional,+39 0472 521333,https://www.plosehuette.com/,,,,Brixen Plose - Plose di Bressanone,1.6,46.6949927,11.7321657
158,439723633,Pizzeria Tre novembre,italian_pizza,,,Altopiano della Vigolana,Via Don Carlo Rossi 13,38049,Le Stock,3.6,45.9693135,11.2326193
159,439750542,Da La Vedla,pizza,+393775945557,https://www.lavedla.it/,San Cassiano,Strada Micurá de Rü 24,39036,Alta Badia Shop & Rental,2.6,46.5711071,11.9318062
160,439912351,Assaje,pizza;italian,,https://www.assaje.it/locations/trento/,Trento,Largo Giosuè Carducci 25,31822,3-Tre Vaneze,4.8,46.0684346,11.1246215
161,440503597,Happy Ranch,,+39 0461 683518,http://www.happy-ranch.com,Cembra,Località Lago Santo,38034,Pradis_ci,8.2,46.1976615,11.2032566
162,440655859,Skihütte,regional,,,,,,Brixen Plose - Plose di Bressanone,2.1,46.6774376,11.7375022
163,441414833,Ristorante Bar Pizzeria J&J,indian;pizza,,,,,,3-Tre Vaneze,5.8,46.0475169,11.1451508
164,441880019,La Terrazza,,,http://www.allaterrazza.com,,Via Benaco 24,,Campeggio,9.9,45.8690229,10.874958
165,442218340,"Trattoria ""Al Parol""",italian,,,Trento,Via Mesiano 40,38123,3-Tre Vaneze,5.8,46.0668061,11.1405959
166,442928069,La Mela,,,,,,,Campeggio,7.8,45.8545873,10.9463595
167,443435231,Kaffee Konrad,,+39 0473 448646,,,,,Falzeben 2,10.1,46.6897789,11.120846
168,445562136,Pizzeria Okay,,,,,,,Campeggio,13.0,45.8748472,11.033247
169,446285924,Großberghütte,regional,+39 0472 520 277,https://www.grossberghuette.com/,Mühlbach - Rio di Pusteria,Grossbergstr. 11,39037,Gitschberg Jochtal,1.0,46.8411625,11.6505952
170,449096185,Cafe Restaurant Seegarten,,,https://www.seegarten.it/,,,,Petersberg - Monte San Pietro,10.0,46.3839586,11.2585115
171,455193451,Gasthof Schlossberg,,,https://pension-schlossberg.it/,,,,Saxner II,3.5,46.8197861,11.2582061
172,456830729,Osteria storica Morelli,,,,,,,Pradis_ci,8.6,46.0780116,11.2780202
173,456867283,Bergrestaurant Jochtal,regional,,,,,,Restaurant,0.1,46.8435955,11.6010012
174,457521149,La Svolta,italian,,,,,,Brentonico,12.8,45.7949703,11.0960875
175,457551203,Pizzeria Bavaria,italian,,,Riva del Garda,Viale Rovereto 100,38066,Centro Sci di Fondo Chinaec,10.6,45.8803073,10.8556849
176,457652887,Ebner Rast,,,,,,,Jochgrimm,8.2,46.2870549,11.381995
177,459656419,Taverna La Botte,,+39 0461 586948,http://www.tavernalabotte.it/,Molveno,Via Cima Tosa 4,38018,Paganella 2,2.9,46.1431234,10.9660326
178,459656425,Al Caminetto,,,,,,,Paganella 2,3.2,46.1406246,10.9619447
179,462127221,Baite di Prà,agritur,,,,,,Pista 1 (SX),8.3,46.0992927,10.6953547
180,462251316,Sterzingerhof,regional;pizza;burger,+39 0472 765128,,Sterzing - Vipiteno,Geizkoflerstraße - Via Geizkofler 15,39049,Rosskopf,2.2,46.8982721,11.4335507
181,463189395,Ai Vicoli,,+39 0461 260673,http://www.aivicoli.it/,Trento,Piazza Santa Teresa Verzeri 1,31822,3-Tre Vaneze,4.4,46.0675785,11.1202669
182,463547596,Malga Canali,regional,,,,,,San Martino di Castrozza,8.1,46.2232952,11.8884108
183,468069349,Ristorante Pizzeria Nuova Castelli,pizza;italian,+39 0461 827079,,,,,3-Tre Vaneze,5.2,46.0760979,11.1240728
184,469091810,Garnischgerhof,,,,,,,Deutschnofen - Nova Ponente,2.2,46.3916713,11.4653356
185,469106203,Völlaner Badl,regional,,,,,,Falzeben 2,14.0,46.5776295,11.1380402
186,470256244,Steinegger,italian;regional,+39 0471 662248,https://www.steinegger.it,Eppan an der Weinstraße - Appiano sulla Strada del Vino,Matschatscher Weg - Strada Masaccio 9,39057,Petersberg - Monte San Pietro,13.3,46.4552667,11.2399826
187,470259436,Überetscher Keller Restaurant Pizzeria,pizza,,,,,,Petersberg - Monte San Pietro,11.7,46.4547772,11.2636727
188,470613019,Muye,,,,,,,Brixen Plose - Plose di Bressanone,6.0,46.7198572,11.6505776
189,471114151,Aquila Nera,,+39 0461 549090,,,,,Pradis_ci,9.0,46.0736674,11.3016006
190,471114173,Albergo ristorante Kamauz,,,,,,,Pradis_ci,8.9,46.0747699,11.3027031
191,471617940,Rotbachalm,regional,,,Ahrntal - Valle Aurina,Brunnberg 22,39030,Klausberg Skiarena,4.3,46.9724096,11.9135392
192,471618005,Stallila,regional,,,Ahrntal - Valle Aurina,Rohrberg 37,39030,Klausberg Skiarena,4.4,46.9771096,11.9149207
193,471639285,Grillage,mexican;traditional;meat,+39 0472 830604,https://www.grillage.it/,,,,Brixen Plose - Plose di Bressanone,5.5,46.7165455,11.6554488
194,471843072,VIP Express,pizza;regional,,,,,,Brixen Plose - Plose di Bressanone,6.0,46.7212321,11.6525257
195,472201994,Waldneralm,,,,,,,Rein in Taufers - Riva di Tures,10.9,47.0465489,12.0929994
196,472597025,Meggima,italian;pizza;regional,,https://www.meggima.eu/,,,,Speikboden,5.3,46.8907455,11.8700125
197,474425716,Pfarrgasthof,regional,,,,,,Rosskopf,7.9,46.964868,11.3466635
198,476270487,Anratterhütte,regional,+39 0472 849574,https://www.anratterhof.info/,,,,Hinterberg,0.7,46.8369354,11.6074335
199,476867344,Schutzhaus Latzfonser Kreuz - Rifugio Santa Croce di Lazfons,regional,,https://www.latzfonserkreuz.com/,,,,Pendio ripido,3.5,46.7019065,11.4998013
200,478522448,Pizzeria Comparsa - Al Baracca,pizza,,,,,,Pradis_ci,8.0,46.0943119,11.2334908
201,478534965,Ristorante pizzeria La Corte,,,,,,,Pradis_ci,10.7,46.0788379,11.2037412
202,478636891,Kuppelwies,,,,,,,Schwemmalm,2.3,46.5301638,10.9581921
203,478679524,Break Point SS47 - Hotel e ristorante,,,,,,,Pradis_ci,10.8,46.0764157,11.2075404
204,478771265,Pretzhof,regional,+39 0472 764455,https://www.pretzhof.com/,Pfitsch - Val di Vizze,Tulfer 259,39049,Rosskopf,7.6,46.9036797,11.507884
205,479311071,Häusler Sam,,,,,,,Obereggen,2.2,46.4030335,11.5253955
206,482018936,La scardola,,,,,,,Pradis_ci,4.5,46.1291452,11.2447454
207,482531366,Osteria Al Moro,,,,,,,Pradis_ci,11.0,46.0613829,11.2428217
208,482716381,Alla Rotonda,,,,,,,Pradis_ci,11.4,46.0587504,11.2373901
209,482740210,Friedheim,pizza,+390471668048,,,Möltnerstraße 44,,Falzeben 2,10.0,46.5866717,11.2532878
210,482849666,Cristallo,,,,,,,Pradis_ci,11.0,46.0618088,11.2417648
211,483034364,Bistrot Alte Post,regional,+39 0473 616884,,,Hauptstraße - Via Principale 98,,7,8.5,46.6170093,10.5906511
212,484919953,Agritur Malga Stramaiolo,regional,,,,,,Pradis_ci,3.0,46.1589433,11.3282197
